query,label
Your new gadget is impressive. Can you show me?,Image
When is my next team meeting next week?,Google Calendar
How much precipitation is expected in the next hour?,Weather
What's your favorite type of tea?,Chat
Should I bring an umbrella today?,Weather
Set a reminder for my wife's birthday,Google Calendar
How many days until my vacation?,Google Calendar
Your workout routine is inspiring. Can you show it?,Image
What's the sunrise time?,Weather
When is my next team meeting?,Google Calendar
I'm curious about your DIY project. Can I see it?,Image
Let's plan a board game night soon.,Chat
Add an event to my calendar,Google Calendar
Do you like to attend food festivals?,Chat
When is my doctor's appointment?,Google Calendar
When will it rain today?,Weather
What's the current air quality index?,Weather
What's the heat index today?,Weather
When will it snow this week?,Weather
What's the current visibility in miles?,Weather
Create a new event for next Friday,Google Calendar
What's the current visibility?,Weather
What's the current wind direction?,Weather
What's your favorite holiday destination?,Chat
When is my next team meeting?,Google Calendar
What's my schedule for next month?,Google Calendar
What's the current temperature in degrees Celsius?,Weather
What's the current wind direction in degrees?,Weather
What's my schedule for next month?,Google Calendar
What's the location of my next appointment?,Google Calendar
When is my son's soccer game?,Google Calendar
When is my next team meeting?,Google Calendar
List my upcoming appointments,Google Calendar
What's the wind chill factor?,Weather
Let's plan a picnic in the park soon.,Chat
What's the atmospheric pressure today?,Weather
What's the heat index tomorrow?,Weather
Create a new event for next year,Google Calendar
Any recent travel adventures to share?,Chat
What's on my calendar for next week?,Google Calendar
How much free time do I have today?,Google Calendar
I've been wanting to learn a musical instrument.,Chat
Do you enjoy outdoor sports or activities?,Chat
What's the atmospheric pressure today?,Weather
What's the current wind direction?,Weather
What's the atmospheric pressure today?,Weather
Are you a morning person or a night owl?,Chat
When is my next team meeting?,Google Calendar
I need to do some grocery shopping later.,Chat
How's your work-life balance?,Chat
What's the current visibility?,Weather
Your view must be amazing from there. Show me!,Image
I'd love to see your balcony. Can you show me?,Image
Your city's skyline must be fantastic. Show me a pic!,Image
What's the sunset time?,Weather
What's my schedule for next month?,Google Calendar
What's the current temperature in Celsius?,Weather
What's the wind speed at the moment?,Weather
Should I wear a jacket today?,Weather
What's your favorite part of your neighborhood? Show me!,Image
Should I wear a jacket today?,Weather
Any recent home improvement projects?,Chat
Set a reminder for my wife's birthday,Google Calendar
How's your morning meditation practice?,Chat
What's the current moon phase?,Weather
I'm curious about your home garden. Can you show it to me?,Image
I'm thinking of redecorating my living room.,Chat
When is my next dentist appointment next month?,Google Calendar
Is it going to rain this weekend?,Weather
Your fashion sense is great. Show me your outfit!,Image
How hot will it get later today?,Weather
What's the current wind chill factor in degrees?,Weather
What's on your bookshelf? Take a photo!,Image
Add an event to my calendar,Google Calendar
What time is my daughter's dance class?,Google Calendar
What's the wind chill factor?,Weather
How much precipitation is expected in the next hour?,Weather
What's the date of my anniversary?,Google Calendar
What's the current ozone level?,Weather
Create a new event for next month,Google Calendar
What's the current chance of rain in percentage?,Weather
Your painting looks fantastic. Can I see more?,Image
What's my schedule for tomorrow?,Google Calendar
You're at a woodworking workshop? Show me your work!,Image
Any recent music concert experiences?,Chat
How many days until my birthday?,Google Calendar
What's the location of my next appointment?,Google Calendar
What's the current ozone level?,Weather
What's the location of my next appointment?,Google Calendar
What's the current humidity level in percentage?,Weather
When is my next doctor's appointment?,Google Calendar
When will it rain today?,Weather
What's the location of my next appointment?,Google Calendar
Any exciting travel plans coming up?,Chat
Do you like to visit museums?,Chat
Any interesting Netflix series recommendations?,Chat
How much free time do I have tomorrow?,Google Calendar
List my upcoming appointments,Google Calendar
What's the UV index today?,Weather
Set a reminder for tomorrow morning,Google Calendar
How's your coffee order at the café?,Chat
What's the current wind speed in mph?,Weather
How do you like to spend your Sundays?,Chat
When is my next doctor's appointment next week?,Google Calendar
Let's see the delicious meal you just cooked!,Image
How high is the UV index tomorrow?,Weather
What's in your refrigerator? Show me a pic!,Image
Let's plan a movie night soon.,Chat
Let's catch up over coffee soon.,Chat
What's the UV index today?,Weather
How's your garden coming along?,Chat
What's on my schedule for next month?,Google Calendar
Add a reminder to call mom,Google Calendar
I'm curious about your cooking skills. Show me a dish!,Image
What's the current visibility in miles?,Weather
Any recent travel mishaps to share?,Chat
List my upcoming appointments,Google Calendar
What's the current visibility in miles?,Weather
What's the current ozone level in parts per billion?,Weather
Remind me to buy groceries,Google Calendar
What's the current UV index on a scale of 1 to 10?,Weather
How much time do I have until my next meeting?,Google Calendar
What's your favorite type of beer?,Chat
What's your favorite type of coffee?,Chat
I'd love to see your home office setup. Can you share it?,Image
Any recent art gallery visits?,Chat
How much precipitation is expected in the next hour?,Weather
Find the nearest weather station,Weather
I'd love to see your local park. Share a pic!,Image
Set a reminder for tomorrow morning,Google Calendar
What's your favorite season of the year?,Chat
Your breakfast cereal looks tasty. Can I see it?,Image
What's your favorite type of ice cream?,Chat
Add a reminder to pick up dry cleaning,Google Calendar
What's your favorite fruit juice? Share a pic!,Image
How much time do I have until my next meeting?,Google Calendar
What's the chance of rain tomorrow?,Weather
How high is the UV index tomorrow on a scale of 1 to 10?,Weather
Add a reminder to call mom,Google Calendar
What's your favorite type of bread? Share a pic!,Image
What's the heat index today?,Weather
Remind me to buy groceries on my way home,Google Calendar
What's your opinion on current events?,Chat
Have you ever traveled solo?,Chat
Do you enjoy exploring new cuisines?,Chat
What's on my schedule for the next week?,Google Calendar
Add a reminder to pick up dry cleaning,Google Calendar
You're at a local event? Show me the festivities!,Image
What time is my dentist appointment tomorrow?,Google Calendar
How's your neighborhood?,Chat
What time is my doctor's appointment?,Google Calendar
Create a new event for tomorrow,Google Calendar
Any plans for the weekend?,Chat
What's the current air quality index?,Weather
Find the nearest weather station,Weather
Any recent DIY projects at home?,Chat
What's the heat index today?,Weather
What's the current temperature outside?,Weather
Is it going to be a cloudy day tomorrow?,Weather
Is there a chance of thunderstorms tomorrow?,Weather
What time does my flight depart?,Google Calendar
Any favorite childhood memories to share?,Chat
Your weekend hike sounds fun. Can you share a pic?,Image
Find the nearest weather station,Weather
Create a new event for next Friday,Google Calendar
What's the forecast for today?,Weather
I bet your Halloween costume is awesome. Share a pic!,Image
What's my schedule for next month?,Google Calendar
Have you tried that new restaurant in town?,Chat
What's the temperature trend for the next few hours?,Weather
Your hiking adventure looks amazing. Share a pic!,Image
Cancel my lunch meeting,Google Calendar
What's in your bag right now? Show me a pic!,Image
Set a reminder for tomorrow morning,Google Calendar
How's your family doing?,Chat
Add a reminder to call the insurance company next week,Google Calendar
What's the current humidity level?,Weather
What's the wind speed at the moment?,Weather
How much precipitation is expected in the next hour?,Weather
What's my schedule for next month?,Google Calendar
What's the UV index today?,Weather
Cancel my lunch meeting,Google Calendar
What's your favorite type of donut? Show me one!,Image
What's the location of my next appointment?,Google Calendar
I've been wanting to explore photography.,Chat
What's the current wind chill factor?,Weather
Your bird-watching hobby is interesting. Can you share?,Image
Create a new event for tomorrow,Google Calendar
What's the current moon phase in words?,Weather
Do you prefer indoor or outdoor activities?,Chat
How many days until my job interview?,Google Calendar
What's my schedule for next month?,Google Calendar
What time is my daughter's swim practice tomorrow?,Google Calendar
What's the chance of rain in the next hour in percentage?,Weather
How's your creative writing coming along?,Chat
When will it rain today?,Weather
Should I wear a jacket today?,Weather
What's the current visibility in miles?,Weather
What's your favorite type of wine?,Chat
What's the current wind speed in miles per hour?,Weather
What's the wind chill factor?,Weather
